student_id,minutes_watched,paid_in_q2
767,0.05,0
1067,0.27,0
1151,122.35,0
1571,77.6,0
2058,0.42,0
2495,0.18,0
2622,15.87,0
3182,0.13,0
3495,0.08,0
3878,2.03,0
5683,6.57,0
6741,32.97,0
6864,6.02,0
7334,153,0
8641,24.15,0
8686,0.22,0
9031,1.55,0
9387,13.43,0
10902,0.23,0
11813,0.45,0
12701,0.1,0
13586,1.05,0
19741,0.42,0
22161,0.07,0
26949,3.2,0
27832,5.9,0
560,1.37,0
1307,5.5,0
1395,133.52,0
1516,6.42,0
1883,0.83,0
2389,2.08,0
2454,5.38,0
2549,40.22,0
2788,44.87,0
3008,11.95,0
3059,37,0
3271,0.95,0
3337,26.15,0
3894,0.18,0
4150,4.53,0
4335,0.25,0
4808,1.07,0
4942,33.97,0
5033,1.12,0
5549,0.38,0
5888,157.8,0
6362,25.88,0
6381,0.32,0
6608,15.82,0
6691,0.85,0
6715,32.88,0
6764,0.12,0
6780,2.2,0
7351,0.68,0
7622,1.2,0
7708,0.27,0
8969,2.08,0
9806,14.13,0
10593,3.95,0
10612,0.4,0
10958,62.7,0
11225,0.12,0
11528,5.65,0
12382,0.22,0
12432,0.17,0
12741,11.17,0
12996,0.17,0
13248,0.1,0
13832,1.78,0
13948,1.93,0
14054,0.07,0
14354,2.93,0
15787,10.02,0
15926,0.45,0
16902,0.82,0
17126,40.32,0
17557,0.87,0
19050,161.58,0
19269,16.45,0
19677,60.83,0
20365,0.17,0
20520,7,0
22083,71.82,0
22239,0.93,0
22959,0.48,0
23036,3.8,0
23139,3.82,0
24165,11.97,0
24276,6.07,0
24778,0.08,0
24972,19.53,0
26188,0.25,0
26296,0.22,0
29444,37.47,0
29993,12.32,0
32150,0.18,0
35223,7.47,0
36300,49.43,0
39298,8.88,0
40679,0.62,0
42546,1.53,0
44751,0.05,0
50317,0.42,0
54665,0.05,0
55342,0.1,0
56168,4.32,0
57131,5.57,0
60092,0.07,0
61845,0.07,0
62186,48.77,0
62525,8.4,0
62851,0.88,0
64278,0.2,0
66318,65.38,0
72221,15.92,0
72262,0.3,0
72838,0.48,0
74943,0.05,0
78541,0.15,0
79351,0.12,0
81399,3.25,0
86652,0.72,0
92582,23.7,0
98640,15.38,0
110557,30.57,0
113759,1.13,0
116556,0.73,0
126135,0.05,0
137457,0.7,0
140465,0.52,0
140676,13.75,0
143378,4.3,0
143420,0.15,0
143658,0.15,0
143721,33.4,0
143965,0.05,0
143984,2.72,0
144074,153.5,0
144781,3.95,0
145377,2.37,0
145594,9.85,0
145658,1.13,0
145665,110.08,0
146143,9.95,0
146158,1.33,0
146247,0.15,0
146399,24.43,0
146409,1.28,0
146499,78.62,0
146943,0.33,0
146984,2.72,0
147088,12.98,0
147275,14.28,0
147578,0.15,0
147639,55.9,0
147665,2.15,0
147693,3.87,0
147762,3.35,0
147904,4.83,0
147932,45.7,0
147941,0.23,0
147954,10.25,0
147963,0.1,0
147992,26.57,0
148006,24.83,0
148060,55.52,0
148133,23.67,0
148137,0.15,0
148138,2.7,0
148148,4.57,0
148149,0.17,0
148150,1.28,0
148159,0.12,0
148221,0.5,0
148225,1.23,0
148229,16.27,0
148231,0.23,0
148239,0.4,0
148245,6.65,0
148277,1.43,0
148292,19.65,0
148298,1.27,0
148307,1.97,0
148309,72.17,0
148314,0.1,0
148321,34.18,0
148334,0.57,0
148357,0.5,0
148363,21.35,0
148390,39.05,0
148406,37.95,0
148433,1.13,0
148442,3.37,0
148448,0.07,0
148449,0.7,0
148461,0.03,0
148475,0.47,0
148485,1.57,0
148487,0.67,0
148496,0.35,0
148506,2.12,0
148512,2.2,0
148516,86.8,0
148551,0.07,0
148560,0.52,0
148570,0.13,0
148641,3.22,0
148674,6.65,0
148682,3.37,0
148703,46.93,0
148706,1.85,0
148719,7.68,0
148728,0.43,0
148737,0.88,0
148750,0.28,0
148795,1.43,0
148804,0.63,0
148818,0.07,0
148833,5.63,0
148848,72.52,0
148878,0.25,0
148881,0.98,0
148887,4.23,0
148891,24.1,0
148909,5.08,0
148915,29.08,0
148989,2.33,0
148992,8.82,0
149016,0.1,0
149045,12.97,0
149063,2.47,0
149089,0.2,0
149095,46.77,0
149098,13.37,0
149148,4.12,0
149169,0.45,0
149175,0.62,0
149187,18.13,0
149191,8.58,0
149309,2.2,0
149324,0.08,0
149352,49.97,0
149371,93.02,0
149408,0.98,0
149415,25.77,0
149426,0.87,0
149489,3.22,0
149499,4.53,0
149505,2.73,0
149525,4.75,0
149541,20.53,0
149598,61.28,0
149637,7.65,0
149719,39.5,0
149736,4.57,0
149748,2.18,0
149782,42.25,0
149796,16.65,0
149802,0.13,0
149842,7.63,0
149863,0.18,0
149888,5.78,0
149927,0.77,0
149961,3.55,0
149963,7.73,0
149980,0.12,0
149989,1.13,0
149993,0.78,0
150010,55.57,0
150027,3.25,0
150047,0.63,0
150080,17.43,0
150092,0.28,0
150144,1.15,0
150156,1.07,0
150180,4.77,0
150239,0.07,0
150259,5.43,0
150261,53.23,0
150285,21.48,0
150287,6.28,0
150291,0.13,0
150304,18.1,0
150310,10.82,0
150326,58.05,0
150340,75.02,0
150379,60.83,0
150394,5.43,0
150399,21,0
150429,0.13,0
150443,1.9,0
150468,0.05,0
150502,0.35,0
150532,0.05,0
150534,70.47,0
150565,0.08,0
150575,0.08,0
150576,0.1,0
150596,0.72,0
150610,5.67,0
150658,0.95,0
150671,5.53,0
150732,116.53,0
150775,0.1,0
150779,34.42,0
150824,0.48,0
150834,2.58,0
150835,23.3,0
150840,9.27,0
150853,0.05,0
150878,25.62,0
150887,0.3,0
150929,1.37,0
150934,0.8,0
150935,12.12,0
150975,2.65,0
150982,62.58,0
150983,90.82,0
151013,0.6,0
151046,44.28,0
151076,6.35,0
151078,2.73,0
151098,1.07,0
151120,0.67,0
151178,1.03,0
151195,0.08,0
151325,43.55,0
151326,23.2,0
151330,56.28,0
151353,0.6,0
151360,0.1,0
151368,83.7,0
151417,0.6,0
151475,6.78,0
151493,1.1,0
151518,0.95,0
151545,61.03,0
151563,0.58,0
151623,2.03,0
151624,4.37,0
151707,0.37,0
151712,10.18,0
151715,0.07,0
151771,2.07,0
151898,0.62,0
151933,0.08,0
151935,2.63,0
151938,0.13,0
152009,115.67,0
152059,0.65,0
152092,0.68,0
152135,0.12,0
152152,0.25,0
152158,0.98,0
152189,22.45,0
152200,0.43,0
