student_id,minutes_watched,paid_in_q2
616,116.02,1
618,238.15,1
838,348.28,1
841,324.75,1
862,166.73,1
908,0.92,1
911,39.35,1
917,5.67,1
969,584.6,1
988,144.78,1
999,384.22,1
1016,20.15,1
1019,56.5,1
1046,1406.38,1
1064,66.85,1
1102,271.3,1
1151,206.23,1
1159,30.78,1
1188,13.02,1
1200,329.4,1
1201,7.67,1
1210,4.4,1
1215,3.03,1
1221,227.3,1
1235,35.98,1
1246,528.57,1
1306,735.68,1
1355,18.07,1
1362,13.52,1
1382,0.33,1
1404,29.73,1
1426,17.78,1
1434,23.67,1
1468,88.63,1
1521,776.92,1
1522,125.88,1
1537,19.82,1
1538,1.7,1
1539,0.88,1
1581,285.95,1
1605,25,1
1652,1032.87,1
1661,5.18,1
1669,52.38,1
1678,92.92,1
1742,264.88,1
1753,55.77,1
1754,516.18,1
1778,397.37,1
1780,0.65,1
1794,115.52,1
1802,0.05,1
1852,218.23,1
1863,38.17,1
1864,301.22,1
1880,719.03,1
1909,238.35,1
1914,20.5,1
1950,17.02,1
1977,748.12,1
2003,935.67,1
2014,114.67,1
2018,161.7,1
2019,0.53,1
2055,20.12,1
2060,22.5,1
2070,128.38,1
2073,467.53,1
2084,89.4,1
2091,397.03,1
2110,4.32,1
2112,876.17,1
2114,78.18,1
2195,29.3,1
2217,11.57,1
2218,50.63,1
2222,2.45,1
2236,9.12,1
2248,382.25,1
2255,244.17,1
2258,7.85,1
2274,3.72,1
2284,2.22,1
2292,43.68,1
2295,40.02,1
2324,8.58,1
2359,0.15,1
2377,36.1,1
2385,10.58,1
2398,368.53,1
2409,57.35,1
2417,13.13,1
2431,0.85,1
2495,125.35,1
2506,14.18,1
2534,0.7,1
2546,384,1
2555,665.93,1
2620,16.07,1
2636,112,1
2663,15.28,1
2702,0.45,1
2723,75.08,1
2725,125.75,1
2731,468.67,1
2734,202.7,1
2737,680.57,1
2764,2.67,1
2824,18.72,1
2851,401.57,1
2866,6.48,1
2881,1.2,1
2887,4.08,1
2925,15.3,1
2945,54.92,1
2954,163.12,1
2973,3.28,1
2978,199.37,1
3056,1.78,1
3062,4.38,1
3070,542.95,1
3080,77.47,1
3115,21.03,1
3146,0.35,1
